FPS, FrameTime, Latency
75.83, 13.19, 34.00
131.57, 7.60, 34.00
60.14, 16.63, 34.00
87.93, 11.37, 34.00
79.20, 12.63, 34.00
162.62, 6.15, 34.00
70.81, 14.12, 34.00
104.10, 9.61, 34.00
90.75, 11.02, 34.00
78.72, 12.70, 34.00
109.26, 9.15, 34.00
99.71, 10.03, 34.00
79.57, 12.57, 34.00
98.03, 10.20, 34.00
99.62, 10.04, 34.00
84.56, 11.83, 34.00
126.84, 7.88, 34.00
77.17, 12.96, 34.00
78.09, 12.81, 34.00
127.02, 7.87, 34.00
92.31, 10.83, 34.00
97.09, 10.30, 34.00
117.04, 8.54, 34.00
54.19, 18.45, 34.00
87.75, 11.40, 34.00
81.46, 12.28, 34.00
89.60, 11.16, 34.00
76.40, 13.09, 34.00
104.38, 9.58, 34.00
88.85, 11.25, 34.00
61.44, 16.27, 34.00
109.18, 9.16, 34.00
84.96, 11.77, 34.00
106.46, 9.39, 34.00
71.43, 14.00, 34.00
77.48, 12.91, 34.00
117.34, 8.52, 34.00
79.11, 12.64, 34.00
75.32, 13.28, 34.00
89.84, 11.13, 34.00
80.22, 12.47, 34.00
114.50, 8.73, 34.00
87.08, 11.48, 34.00
99.93, 10.01, 34.00
102.73, 9.73, 34.00
119.83, 8.34, 34.00
102.99, 9.71, 34.00
112.31, 8.90, 34.00
77.84, 12.85, 34.00
108.68, 9.20, 34.00
91.90, 10.88, 34.00
82.21, 12.16, 34.00
134.44, 7.44, 34.00
80.11, 12.48, 34.00
61.66, 16.22, 34.00
90.93, 11.00, 34.00
90.47, 11.05, 34.00
74.55, 13.41, 34.00
73.15, 13.67, 34.00
87.54, 11.42, 34.00
110.48, 9.05, 34.00
82.38, 12.14, 34.00
89.89, 11.12, 34.00
102.79, 9.73, 34.00
105.14, 9.51, 34.00
102.09, 9.80, 34.00
56.18, 17.80, 34.00
95.17, 10.51, 34.00
91.37, 10.94, 34.00
80.65, 12.40, 34.00
90.03, 11.11, 34.00
76.90, 13.00, 34.00
93.48, 10.70, 34.00
71.81, 13.92, 34.00
97.14, 10.29, 34.00
128.14, 7.80, 34.00
77.11, 12.97, 34.00
89.45, 11.18, 34.00
85.43, 11.71, 34.00
109.56, 9.13, 34.00
71.92, 13.90, 34.00
107.37, 9.31, 34.00
88.40, 11.31, 34.00
131.69, 7.59, 34.00
94.10, 10.63, 34.00
96.13, 10.40, 34.00
69.91, 14.30, 34.00
125.36, 7.98, 34.00
72.09, 13.87, 34.00
75.57, 13.23, 34.00
97.71, 10.23, 34.00
80.96, 12.35, 34.00
69.94, 14.30, 34.00
97.75, 10.23, 34.00
70.97, 14.09, 34.00
135.33, 7.39, 34.00
61.08, 16.37, 34.00
92.04, 10.86, 34.00
86.48, 11.56, 34.00
100.35, 9.96, 34.00
97.30, 10.28, 34.00
65.39, 15.29, 34.00
107.22, 9.33, 34.00
84.71, 11.80, 34.00
88.08, 11.35, 34.00
88.16, 11.34, 34.00
87.70, 11.40, 34.00
103.79, 9.63, 34.00
101.27, 9.87, 34.00
80.64, 12.40, 34.00
80.87, 12.36, 34.00
71.40, 14.01, 34.00
70.00, 14.29, 34.00
115.94, 8.62, 34.00
59.35, 16.85, 34.00
80.77, 12.38, 34.00
104.84, 9.54, 34.00
77.30, 12.94, 34.00
62.41, 16.02, 34.00
96.29, 10.39, 34.00
59.16, 16.90, 34.00
85.72, 11.67, 34.00
77.14, 12.96, 34.00
92.21, 10.85, 34.00
104.43, 9.58, 34.00
73.68, 13.57, 34.00
81.08, 12.33, 34.00
79.09, 12.64, 34.00
71.73, 13.94, 34.00
87.04, 11.49, 34.00
94.80, 10.55, 34.00
83.08, 12.04, 34.00
123.07, 8.13, 34.00
59.71, 16.75, 34.00
108.49, 9.22, 34.00
64.24, 15.57, 34.00
90.63, 11.03, 34.00
72.73, 13.75, 34.00
134.45, 7.44, 34.00
82.28, 12.15, 34.00
79.40, 12.59, 34.00
115.79, 8.64, 34.00
94.06, 10.63, 34.00
69.87, 14.31, 34.00
84.96, 11.77, 34.00
103.22, 9.69, 34.00
83.47, 11.98, 34.00
85.65, 11.68, 34.00
108.83, 9.19, 34.00
101.99, 9.81, 34.00
107.34, 9.32, 34.00
55.69, 17.96, 34.00
102.36, 9.77, 34.00
53.07, 18.84, 34.00
136.57, 7.32, 34.00
73.61, 13.58, 34.00
68.55, 14.59, 34.00
85.38, 11.71, 34.00
74.36, 13.45, 34.00
70.67, 14.15, 34.00
74.83, 13.36, 34.00
82.93, 12.06, 34.00
59.26, 16.88, 34.00
92.32, 10.83, 34.00
71.19, 14.05, 34.00
71.11, 14.06, 34.00
90.50, 11.05, 34.00
57.10, 17.51, 34.00
91.50, 10.93, 34.00
78.21, 12.79, 34.00
83.50, 11.98, 34.00
80.23, 12.46, 34.00
89.21, 11.21, 34.00
61.95, 16.14, 34.00
71.00, 14.08, 34.00
66.56, 15.02, 34.00
50.21, 19.92, 34.00
70.73, 14.14, 34.00
68.09, 14.69, 34.00
75.05, 13.32, 34.00
72.73, 13.75, 34.00
71.46, 13.99, 34.00
114.35, 8.74, 34.00
65.37, 15.30, 34.00
95.46, 10.48, 34.00
72.76, 13.74, 34.00
33.70, 29.68, 34.00
66.16, 15.11, 34.00
112.64, 8.88, 34.00
60.65, 16.49, 34.00
12.12, 82.52, 34.00
9.85, 101.51, 34.00
68.13, 14.68, 34.00
44.60, 22.42, 34.00
67.38, 14.84, 34.00
90.06, 11.10, 34.00
69.78, 14.33, 34.00
66.16, 15.12, 34.00
92.44, 10.82, 34.00
59.15, 16.90, 34.00
51.47, 19.43, 34.00
64.16, 15.59, 34.00
106.82, 9.36, 34.00
57.79, 17.30, 34.00
