FPS, FrameTime, Latency
86.66, 11.54, 34.00
69.89, 14.31, 34.00
86.20, 11.60, 34.00
90.32, 11.07, 34.00
63.81, 15.67, 34.00
77.38, 12.92, 34.00
58.93, 16.97, 34.00
55.78, 17.93, 34.00
73.47, 13.61, 34.00
33.95, 29.46, 34.00
53.23, 18.78, 34.00
53.30, 18.76, 34.00
65.61, 15.24, 34.00
68.87, 14.52, 34.00
83.01, 12.05, 34.00
44.45, 22.50, 34.00
64.40, 15.53, 34.00
73.50, 13.61, 34.00
84.27, 11.87, 34.00
90.84, 11.01, 34.00
103.01, 9.71, 34.00
70.56, 14.17, 34.00
71.06, 14.07, 34.00
75.43, 13.26, 34.00
76.38, 13.09, 34.00
74.81, 13.37, 34.00
94.64, 10.57, 34.00
74.63, 13.40, 34.00
80.74, 12.39, 34.00
96.23, 10.39, 34.00
58.84, 16.99, 34.00
79.02, 12.66, 34.00
91.16, 10.97, 34.00
51.66, 19.36, 34.00
83.54, 11.97, 34.00
100.40, 9.96, 34.00
60.72, 16.47, 34.00
51.88, 19.27, 34.00
138.16, 7.24, 34.00
65.00, 15.38, 34.00
85.24, 11.73, 34.00
80.10, 12.48, 34.00
71.33, 14.02, 34.00
72.94, 13.71, 34.00
72.23, 13.84, 34.00
59.22, 16.89, 34.00
79.57, 12.57, 34.00
81.95, 12.20, 34.00
64.61, 15.48, 34.00
67.24, 14.87, 34.00
53.25, 18.78, 34.00
70.45, 14.20, 34.00
84.57, 11.82, 34.00
73.93, 13.53, 34.00
46.22, 21.64, 34.00
90.10, 11.10, 34.00
80.01, 12.50, 34.00
63.39, 15.78, 34.00
77.22, 12.95, 34.00
73.26, 13.65, 34.00
92.24, 10.84, 34.00
41.88, 23.88, 34.00
68.19, 14.66, 34.00
83.79, 11.93, 34.00
53.58, 18.66, 34.00
116.73, 8.57, 34.00
63.43, 15.77, 34.00
64.87, 15.41, 34.00
59.36, 16.85, 34.00
58.89, 16.98, 34.00
56.06, 17.84, 34.00
48.43, 20.65, 34.00
196.58, 5.09, 34.00
57.54, 17.38, 34.00
50.11, 19.96, 34.00
76.80, 13.02, 34.00
64.52, 15.50, 34.00
67.70, 14.77, 34.00
75.14, 13.31, 34.00
72.08, 13.87, 34.00
46.66, 21.43, 34.00
199.62, 5.01, 34.00
63.72, 15.69, 34.00
83.34, 12.00, 34.00
72.47, 13.80, 34.00
62.39, 16.03, 34.00
64.86, 15.42, 34.00
49.22, 20.32, 34.00
62.36, 16.04, 34.00
58.22, 17.18, 34.00
130.59, 7.66, 34.00
56.23, 17.78, 34.00
58.26, 17.17, 34.00
80.96, 12.35, 34.00
74.82, 13.37, 34.00
58.56, 17.08, 34.00
114.67, 8.72, 34.00
55.75, 17.94, 34.00
68.36, 14.63, 34.00
95.71, 10.45, 34.00
71.92, 13.90, 34.00
56.96, 17.56, 34.00
150.28, 6.65, 34.00
54.57, 18.32, 34.00
52.23, 19.15, 34.00
109.75, 9.11, 34.00
59.28, 16.87, 34.00
83.52, 11.97, 34.00
37.71, 26.51, 34.00
72.16, 13.86, 34.00
96.17, 10.40, 34.00
72.53, 13.79, 34.00
46.29, 21.60, 34.00
84.57, 11.82, 34.00
67.33, 14.85, 34.00
64.02, 15.62, 34.00
79.79, 12.53, 34.00
90.86, 11.01, 34.00
59.57, 16.79, 34.00
82.61, 12.10, 34.00
80.74, 12.39, 34.00
63.75, 15.69, 34.00
87.33, 11.45, 34.00
57.32, 17.45, 34.00
67.23, 14.87, 34.00
75.53, 13.24, 34.00
67.28, 14.86, 34.00
68.35, 14.63, 34.00
47.34, 21.12, 34.00
60.69, 16.48, 34.00
49.92, 20.03, 34.00
206.61, 4.84, 34.00
45.25, 22.10, 34.00
78.32, 12.77, 34.00
59.94, 16.68, 34.00
63.83, 15.67, 34.00
56.45, 17.71, 34.00
175.37, 5.70, 34.00
61.89, 16.16, 34.00
79.00, 12.66, 34.00
87.23, 11.46, 34.00
65.54, 15.26, 34.00
72.08, 13.87, 34.00
79.81, 12.53, 34.00
56.47, 17.71, 34.00
73.19, 13.66, 34.00
88.50, 11.30, 34.00
48.19, 20.75, 34.00
65.29, 15.32, 34.00
82.83, 12.07, 34.00
53.18, 18.80, 34.00
75.37, 13.27, 34.00
73.78, 13.55, 34.00
63.33, 15.79, 34.00
64.32, 15.55, 34.00
84.54, 11.83, 34.00
92.80, 10.78, 34.00
58.49, 17.10, 34.00
88.21, 11.34, 34.00
68.06, 14.69, 34.00
53.87, 18.56, 34.00
176.22, 5.67, 34.00
75.79, 13.19, 34.00
50.36, 19.86, 34.00
95.27, 10.50, 34.00
36.53, 27.37, 34.00
87.69, 11.40, 34.00
67.88, 14.73, 34.00
53.74, 18.61, 34.00
55.21, 18.11, 34.00
77.73, 12.86, 34.00
68.27, 14.65, 34.00
71.31, 14.02, 34.00
64.02, 15.62, 34.00
66.57, 15.02, 34.00
102.11, 9.79, 34.00
62.02, 16.13, 34.00
85.44, 11.70, 34.00
49.94, 20.03, 34.00
77.12, 12.97, 34.00
78.48, 12.74, 34.00
64.96, 15.39, 34.00
76.97, 12.99, 34.00
72.42, 13.81, 34.00
55.82, 17.92, 34.00
79.62, 12.56, 34.00
66.26, 15.09, 34.00
53.62, 18.65, 34.00
87.66, 11.41, 34.00
93.75, 10.67, 34.00
52.53, 19.04, 34.00
65.48, 15.27, 34.00
108.75, 9.20, 34.00
56.32, 17.75, 34.00
88.99, 11.24, 34.00
94.43, 10.59, 34.00
62.48, 16.01, 34.00
60.74, 16.46, 34.00
98.47, 10.16, 34.00
40.54, 24.66, 34.00
93.90, 10.65, 34.00
68.47, 14.60, 34.00
76.56, 13.06, 34.00
59.43, 16.83, 34.00
127.76, 7.83, 34.00
59.85, 16.71, 34.00
62.83, 15.92, 34.00
88.37, 11.32, 34.00
61.07, 16.38, 34.00
72.94, 13.71, 34.00
49.91, 20.04, 34.00
116.37, 8.59, 34.00
60.29, 16.59, 34.00
92.21, 10.84, 34.00
60.48, 16.53, 34.00
67.64, 14.78, 34.00
105.55, 9.47, 34.00
42.98, 23.27, 34.00
94.06, 10.63, 34.00
54.65, 18.30, 34.00
49.00, 20.41, 34.00
113.49, 8.81, 34.00
62.38, 16.03, 34.00
67.06, 14.91, 34.00
79.09, 12.64, 34.00
46.96, 21.30, 34.00
55.65, 17.97, 34.00
87.57, 11.42, 34.00
41.62, 24.03, 34.00
91.42, 10.94, 34.00
76.88, 13.01, 34.00
65.47, 15.27, 34.00
91.59, 10.92, 34.00
73.49, 13.61, 34.00
79.76, 12.54, 34.00
64.70, 15.45, 34.00
58.92, 16.97, 34.00
95.70, 10.45, 34.00
64.68, 15.46, 34.00
64.37, 15.53, 34.00
49.27, 20.30, 34.00
44.28, 22.58, 34.00
164.60, 6.08, 34.00
75.20, 13.30, 34.00
74.30, 13.46, 34.00
89.20, 11.21, 34.00
64.90, 15.41, 34.00
81.00, 12.35, 34.00
77.88, 12.84, 34.00
58.95, 16.96, 34.00
62.71, 15.95, 34.00
77.06, 12.98, 34.00
48.76, 20.51, 34.00
146.45, 6.83, 34.00
58.49, 17.10, 34.00
69.53, 14.38, 34.00
68.90, 14.51, 34.00
81.81, 12.22, 34.00
57.32, 17.45, 34.00
97.60, 10.25, 34.00
55.91, 17.89, 34.00
73.64, 13.58, 34.00
73.48, 13.61, 34.00
62.10, 16.10, 34.00
56.08, 17.83, 34.00
127.30, 7.86, 34.00
59.66, 16.76, 34.00
71.33, 14.02, 34.00
62.67, 15.96, 34.00
61.35, 16.30, 34.00
90.90, 11.00, 34.00
82.12, 12.18, 34.00
65.87, 15.18, 34.00
45.69, 21.89, 34.00
103.50, 9.66, 34.00
72.42, 13.81, 34.00
47.26, 21.16, 34.00
149.92, 6.67, 34.00
75.68, 13.21, 34.00
49.89, 20.04, 34.00
79.55, 12.57, 34.00
35.60, 28.09, 34.00
118.19, 8.46, 34.00
38.25, 26.14, 34.00
79.01, 12.66, 34.00
90.98, 10.99, 34.00
40.69, 24.58, 34.00
96.37, 10.38, 34.00
81.11, 12.33, 34.00
60.14, 16.63, 34.00
50.40, 19.84, 34.00
99.93, 10.01, 34.00
65.20, 15.34, 34.00
94.60, 10.57, 34.00
76.23, 13.12, 34.00
79.63, 12.56, 34.00
70.05, 14.28, 34.00
64.41, 15.53, 34.00
79.42, 12.59, 34.00
92.98, 10.75, 34.00
49.16, 20.34, 34.00
98.79, 10.12, 34.00
82.85, 12.07, 34.00
62.51, 16.00, 34.00
82.86, 12.07, 34.00
71.29, 14.03, 34.00
71.06, 14.07, 34.00
68.39, 14.62, 34.00
92.65, 10.79, 34.00
73.08, 13.68, 34.00
98.49, 10.15, 34.00
63.55, 15.74, 34.00
99.84, 10.02, 34.00
74.91, 13.35, 34.00
83.68, 11.95, 34.00
45.93, 21.77, 34.00
95.69, 10.45, 34.00
101.90, 9.81, 34.00
86.63, 11.54, 34.00
98.20, 10.18, 34.00
56.08, 17.83, 34.00
41.51, 24.09, 34.00
69.03, 14.49, 34.00
57.58, 17.37, 34.00
115.28, 8.67, 34.00
82.68, 12.09, 34.00
50.16, 19.94, 34.00
86.33, 11.58, 34.00
97.88, 10.22, 34.00
32.70, 30.58, 34.00
71.38, 14.01, 34.00
72.98, 13.70, 34.00
52.42, 19.08, 34.00
69.15, 14.46, 34.00
46.13, 21.68, 34.00
121.38, 8.24, 34.00
79.52, 12.58, 34.00
76.48, 13.08, 34.00
55.43, 18.04, 34.00
78.77, 12.69, 34.00
66.32, 15.08, 34.00
131.50, 7.60, 34.00
69.60, 14.37, 34.00
75.07, 13.32, 34.00
71.19, 14.05, 34.00
128.83, 7.76, 34.00
50.92, 19.64, 34.00
66.50, 15.04, 34.00
179.80, 5.56, 34.00
71.26, 14.03, 34.00
53.20, 18.80, 34.00
57.10, 17.51, 34.00
57.94, 17.26, 34.00
47.63, 20.99, 34.00
61.16, 16.35, 34.00
65.44, 15.28, 34.00
66.89, 14.95, 34.00
110.17, 9.08, 34.00
60.14, 16.63, 34.00
47.57, 21.02, 34.00
75.97, 13.16, 34.00
65.01, 15.38, 34.00
52.93, 18.89, 34.00
119.91, 8.34, 34.00
57.58, 17.37, 34.00
76.16, 13.13, 34.00
56.04, 17.84, 34.00
71.79, 13.93, 34.00
66.06, 15.14, 34.00
49.05, 20.39, 34.00
66.46, 15.05, 34.00
78.06, 12.81, 34.00
