FPS, FrameTime, Latency
165.09, 6.06, 34.00
134.08, 7.46, 34.00
165.11, 6.06, 34.00
120.18, 8.32, 34.00
151.54, 6.60, 34.00
110.98, 9.01, 34.00
123.43, 8.10, 34.00
91.77, 10.90, 34.00
151.33, 6.61, 34.00
135.88, 7.36, 34.00
106.61, 9.38, 34.00
118.20, 8.46, 34.00
128.89, 7.76, 34.00
115.91, 8.63, 34.00
109.69, 9.12, 34.00
175.56, 5.70, 34.00
109.69, 9.12, 34.00
138.26, 7.23, 34.00
128.27, 7.80, 34.00
141.60, 7.06, 34.00
86.51, 11.56, 34.00
121.77, 8.21, 34.00
117.84, 8.49, 34.00
126.32, 7.92, 34.00
120.05, 8.33, 34.00
108.80, 9.19, 34.00
125.97, 7.94, 34.00
119.37, 8.38, 34.00
77.55, 12.89, 34.00
108.98, 9.18, 34.00
128.07, 7.81, 34.00
127.76, 7.83, 34.00
101.56, 9.85, 34.00
107.08, 9.34, 34.00
109.22, 9.16, 34.00
69.97, 14.29, 34.00
107.93, 9.27, 34.00
80.89, 12.36, 34.00
73.39, 13.63, 34.00
86.16, 11.61, 34.00
73.16, 13.67, 34.00
105.00, 9.52, 34.00
94.46, 10.59, 34.00
107.13, 9.33, 34.00
96.51, 10.36, 34.00
117.41, 8.52, 34.00
98.79, 10.12, 34.00
121.17, 8.25, 34.00
96.28, 10.39, 34.00
172.88, 5.78, 34.00
81.98, 12.20, 34.00
126.27, 7.92, 34.00
99.04, 10.10, 34.00
153.89, 6.50, 34.00
102.04, 9.80, 34.00
145.15, 6.89, 34.00
87.75, 11.40, 34.00
81.28, 12.30, 34.00
138.79, 7.21, 34.00
72.13, 13.86, 34.00
121.69, 8.22, 34.00
84.07, 11.90, 34.00
90.00, 11.11, 34.00
92.76, 10.78, 34.00
92.53, 10.81, 34.00
68.87, 14.52, 34.00
113.33, 8.82, 34.00
125.64, 7.96, 34.00
96.38, 10.38, 34.00
112.13, 8.92, 34.00
123.91, 8.07, 34.00
86.67, 11.54, 34.00
95.15, 10.51, 34.00
130.07, 7.69, 34.00
90.33, 11.07, 34.00
87.81, 11.39, 34.00
103.94, 9.62, 34.00
94.26, 10.61, 34.00
194.03, 5.15, 34.00
82.05, 12.19, 34.00
126.60, 7.90, 34.00
112.15, 8.92, 34.00
72.56, 13.78, 34.00
101.53, 9.85, 34.00
117.38, 8.52, 34.00
99.95, 10.01, 34.00
58.88, 16.98, 34.00
122.72, 8.15, 34.00
88.71, 11.27, 34.00
75.17, 13.30, 34.00
88.64, 11.28, 34.00
72.42, 13.81, 34.00
88.82, 11.26, 34.00
100.79, 9.92, 34.00
90.69, 11.03, 34.00
76.45, 13.08, 34.00
94.03, 10.64, 34.00
96.96, 10.31, 34.00
88.34, 11.32, 34.00
71.06, 14.07, 34.00
89.38, 11.19, 34.00
67.06, 14.91, 34.00
89.51, 11.17, 34.00
81.94, 12.20, 34.00
150.80, 6.63, 34.00
108.49, 9.22, 34.00
89.71, 11.15, 34.00
179.47, 5.57, 34.00
111.71, 8.95, 34.00
123.06, 8.13, 34.00
115.84, 8.63, 34.00
132.45, 7.55, 34.00
119.26, 8.38, 34.00
102.10, 9.79, 34.00
141.95, 7.04, 34.00
106.89, 9.36, 34.00
112.67, 8.88, 34.00
115.21, 8.68, 34.00
90.05, 11.11, 34.00
105.10, 9.52, 34.00
220.51, 4.54, 34.00
128.38, 7.79, 34.00
115.74, 8.64, 34.00
133.67, 7.48, 34.00
122.58, 8.16, 34.00
86.87, 11.51, 34.00
127.89, 7.82, 34.00
139.79, 7.15, 34.00
164.69, 6.07, 34.00
103.57, 9.66, 34.00
118.56, 8.43, 34.00
143.55, 6.97, 34.00
120.82, 8.28, 34.00
148.60, 6.73, 34.00
113.77, 8.79, 34.00
97.91, 10.21, 34.00
132.89, 7.53, 34.00
88.39, 11.31, 34.00
104.56, 9.56, 34.00
83.94, 11.91, 34.00
125.43, 7.97, 34.00
149.56, 6.69, 34.00
96.63, 10.35, 34.00
112.22, 8.91, 34.00
124.27, 8.05, 34.00
115.65, 8.65, 34.00
86.76, 11.53, 34.00
122.61, 8.16, 34.00
161.73, 6.18, 34.00
111.40, 8.98, 34.00
120.68, 8.29, 34.00
83.97, 11.91, 34.00
110.79, 9.03, 34.00
114.27, 8.75, 34.00
95.29, 10.49, 34.00
124.11, 8.06, 34.00
130.80, 7.64, 34.00
69.67, 14.35, 34.00
97.27, 10.28, 34.00
96.58, 10.35, 34.00
130.81, 7.64, 34.00
130.52, 7.66, 34.00
83.72, 11.94, 34.00
128.82, 7.76, 34.00
97.70, 10.24, 34.00
153.65, 6.51, 34.00
83.45, 11.98, 34.00
126.80, 7.89, 34.00
145.16, 6.89, 34.00
111.41, 8.98, 34.00
135.77, 7.37, 34.00
127.22, 7.86, 34.00
174.92, 5.72, 34.00
116.94, 8.55, 34.00
125.64, 7.96, 34.00
129.11, 7.75, 34.00
84.52, 11.83, 34.00
129.30, 7.73, 34.00
146.22, 6.84, 34.00
76.13, 13.14, 34.00
110.94, 9.01, 34.00
131.24, 7.62, 34.00
100.49, 9.95, 34.00
123.98, 8.07, 34.00
129.83, 7.70, 34.00
135.01, 7.41, 34.00
134.97, 7.41, 34.00
125.48, 7.97, 34.00
123.52, 8.10, 34.00
140.79, 7.10, 34.00
132.41, 7.55, 34.00
120.86, 8.27, 34.00
124.13, 8.06, 34.00
191.41, 5.22, 34.00
106.77, 9.37, 34.00
152.10, 6.57, 34.00
132.04, 7.57, 34.00
122.45, 8.17, 34.00
155.22, 6.44, 34.00
131.40, 7.61, 34.00
123.81, 8.08, 34.00
113.63, 8.80, 34.00
118.89, 8.41, 34.00
91.56, 10.92, 34.00
130.96, 7.64, 34.00
101.80, 9.82, 34.00
199.93, 5.00, 34.00
109.35, 9.14, 34.00
77.27, 12.94, 34.00
133.45, 7.49, 34.00
106.89, 9.36, 34.00
77.51, 12.90, 34.00
85.34, 11.72, 34.00
118.13, 8.47, 34.00
72.41, 13.81, 34.00
134.09, 7.46, 34.00
108.11, 9.25, 34.00
90.84, 11.01, 34.00
106.91, 9.35, 34.00
75.51, 13.24, 34.00
79.60, 12.56, 34.00
