FPS, FrameTime, Latency
125.17, 7.99, 34.00
89.09, 11.23, 34.00
75.79, 13.19, 34.00
67.18, 14.88, 34.00
99.93, 10.01, 34.00
99.26, 10.07, 34.00
56.65, 17.65, 34.00
137.25, 7.29, 34.00
96.77, 10.33, 34.00
74.43, 13.44, 34.00
122.90, 8.14, 34.00
111.42, 8.98, 34.00
68.64, 14.57, 34.00
117.61, 8.50, 34.00
97.63, 10.24, 34.00
63.15, 15.84, 34.00
215.92, 4.63, 34.00
112.91, 8.86, 34.00
55.08, 18.15, 34.00
110.18, 9.08, 34.00
97.69, 10.24, 34.00
123.42, 8.10, 34.00
74.39, 13.44, 34.00
136.29, 7.34, 34.00
57.57, 17.37, 34.00
140.88, 7.10, 34.00
64.77, 15.44, 34.00
67.11, 14.90, 34.00
119.54, 8.37, 34.00
80.21, 12.47, 34.00
137.43, 7.28, 34.00
93.31, 10.72, 34.00
94.32, 10.60, 34.00
92.95, 10.76, 34.00
124.23, 8.05, 34.00
103.86, 9.63, 34.00
138.89, 7.20, 34.00
125.44, 7.97, 34.00
98.93, 10.11, 34.00
111.06, 9.00, 34.00
64.08, 15.61, 34.00
101.29, 9.87, 34.00
109.21, 9.16, 34.00
79.62, 12.56, 34.00
185.56, 5.39, 34.00
98.95, 10.11, 34.00
114.34, 8.75, 34.00
130.63, 7.66, 34.00
96.32, 10.38, 34.00
108.65, 9.20, 34.00
140.60, 7.11, 34.00
98.93, 10.11, 34.00
116.77, 8.56, 34.00
83.69, 11.95, 34.00
97.63, 10.24, 34.00
96.43, 10.37, 34.00
128.10, 7.81, 34.00
73.16, 13.67, 34.00
117.98, 8.48, 34.00
88.03, 11.36, 34.00
198.84, 5.03, 34.00
91.61, 10.92, 34.00
106.21, 9.42, 34.00
147.70, 6.77, 34.00
115.64, 8.65, 34.00
100.38, 9.96, 34.00
121.37, 8.24, 34.00
88.32, 11.32, 34.00
102.15, 9.79, 34.00
174.86, 5.72, 34.00
114.95, 8.70, 34.00
139.43, 7.17, 34.00
133.98, 7.46, 34.00
80.55, 12.41, 34.00
171.32, 5.84, 34.00
121.38, 8.24, 34.00
130.80, 7.65, 34.00
107.57, 9.30, 34.00
85.92, 11.64, 34.00
113.97, 8.77, 34.00
99.37, 10.06, 34.00
126.90, 7.88, 34.00
115.09, 8.69, 34.00
113.18, 8.84, 34.00
105.40, 9.49, 34.00
140.90, 7.10, 34.00
99.26, 10.07, 34.00
85.22, 11.73, 34.00
114.30, 8.75, 34.00
104.42, 9.58, 34.00
126.77, 7.89, 34.00
63.41, 15.77, 34.00
91.21, 10.96, 34.00
112.63, 8.88, 34.00
77.96, 12.83, 34.00
100.07, 9.99, 34.00
102.25, 9.78, 34.00
85.78, 11.66, 34.00
74.86, 13.36, 34.00
112.76, 8.87, 34.00
72.89, 13.72, 34.00
95.61, 10.46, 34.00
137.23, 7.29, 34.00
107.22, 9.33, 34.00
122.28, 8.18, 34.00
90.74, 11.02, 34.00
133.87, 7.47, 34.00
72.89, 13.72, 34.00
124.36, 8.04, 34.00
117.78, 8.49, 34.00
80.71, 12.39, 34.00
58.58, 17.07, 34.00
117.57, 8.51, 34.00
77.97, 12.83, 34.00
86.52, 11.56, 34.00
107.69, 9.29, 34.00
83.81, 11.93, 34.00
83.54, 11.97, 34.00
151.52, 6.60, 34.00
115.22, 8.68, 34.00
97.67, 10.24, 34.00
106.48, 9.39, 34.00
167.19, 5.98, 34.00
110.36, 9.06, 34.00
79.98, 12.50, 34.00
136.32, 7.34, 34.00
135.10, 7.40, 34.00
95.54, 10.47, 34.00
109.26, 9.15, 34.00
143.55, 6.97, 34.00
79.85, 12.52, 34.00
84.39, 11.85, 34.00
102.70, 9.74, 34.00
123.86, 8.07, 34.00
81.47, 12.27, 34.00
