FPS, FrameTime, Latency
134.73, 7.42, 34.00
116.60, 8.58, 34.00
101.34, 9.87, 34.00
65.98, 15.16, 34.00
97.55, 10.25, 34.00
93.94, 10.65, 34.00
109.71, 9.12, 34.00
108.59, 9.21, 34.00
101.71, 9.83, 34.00
80.23, 12.46, 34.00
81.15, 12.32, 34.00
223.62, 4.47, 34.00
98.60, 10.14, 34.00
105.98, 9.44, 34.00
81.01, 12.34, 34.00
76.87, 13.01, 34.00
99.27, 10.07, 34.00
82.44, 12.13, 34.00
51.33, 19.48, 34.00
65.57, 15.25, 34.00
119.04, 8.40, 34.00
107.14, 9.33, 34.00
114.76, 8.71, 34.00
71.51, 13.98, 34.00
181.33, 5.51, 34.00
99.23, 10.08, 34.00
56.10, 17.83, 34.00
164.90, 6.06, 34.00
112.89, 8.86, 34.00
57.62, 17.35, 34.00
174.79, 5.72, 34.00
113.06, 8.84, 34.00
99.36, 10.06, 34.00
110.77, 9.03, 34.00
69.20, 14.45, 34.00
124.79, 8.01, 34.00
114.61, 8.72, 34.00
53.94, 18.54, 34.00
131.09, 7.63, 34.00
94.39, 10.59, 34.00
152.51, 6.56, 34.00
120.35, 8.31, 34.00
80.42, 12.44, 34.00
105.15, 9.51, 34.00
86.90, 11.51, 34.00
97.29, 10.28, 34.00
101.04, 9.90, 34.00
99.04, 10.10, 34.00
98.63, 10.14, 34.00
53.94, 18.54, 34.00
162.21, 6.16, 34.00
73.93, 13.53, 34.00
64.66, 15.47, 34.00
186.28, 5.37, 34.00
87.01, 11.49, 34.00
113.03, 8.85, 34.00
89.32, 11.20, 34.00
76.03, 13.15, 34.00
109.78, 9.11, 34.00
78.88, 12.68, 34.00
93.59, 10.68, 34.00
117.13, 8.54, 34.00
116.74, 8.57, 34.00
96.46, 10.37, 34.00
86.94, 11.50, 34.00
80.80, 12.38, 34.00
159.67, 6.26, 34.00
100.04, 10.00, 34.00
124.80, 8.01, 34.00
95.35, 10.49, 34.00
94.81, 10.55, 34.00
108.13, 9.25, 34.00
190.24, 5.26, 34.00
84.66, 11.81, 34.00
94.32, 10.60, 34.00
71.71, 13.94, 34.00
144.09, 6.94, 34.00
132.30, 7.56, 34.00
176.95, 5.65, 34.00
75.65, 13.22, 34.00
