FPS, FrameTime, Latency
93.57, 10.69, 34.00
68.71, 14.55, 34.00
71.89, 13.91, 34.00
81.13, 12.33, 34.00
112.55, 8.88, 34.00
114.64, 8.72, 34.00
70.43, 14.20, 34.00
182.35, 5.48, 34.00
79.62, 12.56, 34.00
52.58, 19.02, 34.00
98.76, 10.13, 34.00
96.63, 10.35, 34.00
77.25, 12.95, 34.00
106.63, 9.38, 34.00
45.00, 22.22, 34.00
120.40, 8.31, 34.00
69.38, 14.41, 34.00
98.70, 10.13, 34.00
104.94, 9.53, 34.00
187.42, 5.34, 34.00
64.62, 15.48, 34.00
94.38, 10.60, 34.00
80.78, 12.38, 34.00
65.74, 15.21, 34.00
153.23, 6.53, 34.00
88.39, 11.31, 34.00
48.40, 20.66, 34.00
112.68, 8.87, 34.00
101.28, 9.87, 34.00
110.28, 9.07, 34.00
59.98, 16.67, 34.00
197.03, 5.08, 34.00
71.48, 13.99, 34.00
102.54, 9.75, 34.00
95.15, 10.51, 34.00
106.77, 9.37, 34.00
91.62, 10.91, 34.00
83.40, 11.99, 34.00
59.93, 16.69, 34.00
147.41, 6.78, 34.00
82.43, 12.13, 34.00
140.33, 7.13, 34.00
99.84, 10.02, 34.00
79.25, 12.62, 34.00
46.80, 21.37, 34.00
143.05, 6.99, 34.00
78.37, 12.76, 34.00
86.45, 11.57, 34.00
99.86, 10.01, 34.00
57.84, 17.29, 34.00
82.30, 12.15, 34.00
130.19, 7.68, 34.00
84.04, 11.90, 34.00
148.49, 6.73, 34.00
121.97, 8.20, 34.00
79.82, 12.53, 34.00
93.83, 10.66, 34.00
89.00, 11.24, 34.00
68.65, 14.57, 34.00
137.83, 7.26, 34.00
106.88, 9.36, 34.00
126.90, 7.88, 34.00
70.11, 14.26, 34.00
78.08, 12.81, 34.00
47.80, 20.92, 34.00
121.87, 8.21, 34.00
73.99, 13.52, 34.00
95.06, 10.52, 34.00
42.57, 23.49, 34.00
121.15, 8.25, 34.00
95.35, 10.49, 34.00
144.80, 6.91, 34.00
119.66, 8.36, 34.00
113.39, 8.82, 34.00
51.20, 19.53, 34.00
94.97, 10.53, 34.00
87.81, 11.39, 34.00
106.70, 9.37, 34.00
83.56, 11.97, 34.00
50.02, 19.99, 34.00
140.58, 7.11, 34.00
74.46, 13.43, 34.00
144.55, 6.92, 34.00
123.18, 8.12, 34.00
80.71, 12.39, 34.00
72.36, 13.82, 34.00
95.71, 10.45, 34.00
107.25, 9.32, 34.00
102.16, 9.79, 34.00
82.22, 12.16, 34.00
63.35, 15.78, 34.00
96.13, 10.40, 34.00
102.79, 9.73, 34.00
56.32, 17.76, 34.00
179.79, 5.56, 34.00
112.26, 8.91, 34.00
66.38, 15.06, 34.00
125.77, 7.95, 34.00
78.92, 12.67, 34.00
138.19, 7.24, 34.00
125.62, 7.96, 34.00
105.77, 9.45, 34.00
48.82, 20.48, 34.00
94.69, 10.56, 34.00
70.98, 14.09, 34.00
55.18, 18.12, 34.00
109.44, 9.14, 34.00
90.25, 11.08, 34.00
76.59, 13.06, 34.00
47.27, 21.15, 34.00
142.57, 7.01, 34.00
111.30, 8.98, 34.00
95.13, 10.51, 34.00
121.56, 8.23, 34.00
66.38, 15.06, 34.00
84.70, 11.81, 34.00
72.15, 13.86, 34.00
162.79, 6.14, 34.00
95.69, 10.45, 34.00
61.23, 16.33, 34.00
108.85, 9.19, 34.00
146.20, 6.84, 34.00
67.68, 14.77, 34.00
84.33, 11.86, 34.00
144.59, 6.92, 34.00
96.39, 10.38, 34.00
153.09, 6.53, 34.00
124.94, 8.00, 34.00
59.91, 16.69, 34.00
91.10, 10.98, 34.00
88.15, 11.34, 34.00
97.33, 10.27, 34.00
116.50, 8.58, 34.00
84.40, 11.85, 34.00
61.05, 16.38, 34.00
115.71, 8.64, 34.00
95.49, 10.47, 34.00
98.53, 10.15, 34.00
114.56, 8.73, 34.00
61.08, 16.37, 34.00
60.97, 16.40, 34.00
94.32, 10.60, 34.00
95.09, 10.52, 34.00
70.56, 14.17, 34.00
49.53, 20.19, 34.00
192.60, 5.19, 34.00
70.96, 14.09, 34.00
81.87, 12.21, 34.00
110.79, 9.03, 34.00
110.98, 9.01, 34.00
82.46, 12.13, 34.00
118.40, 8.45, 34.00
88.39, 11.31, 34.00
115.72, 8.64, 34.00
67.39, 14.84, 34.00
111.30, 8.98, 34.00
111.14, 9.00, 34.00
55.73, 17.94, 34.00
126.00, 7.94, 34.00
62.43, 16.02, 34.00
115.02, 8.69, 34.00
118.56, 8.43, 34.00
105.97, 9.44, 34.00
102.09, 9.80, 34.00
72.69, 13.76, 34.00
94.48, 10.58, 34.00
72.75, 13.75, 34.00
116.39, 8.59, 34.00
86.31, 11.59, 34.00
156.31, 6.40, 34.00
76.90, 13.00, 34.00
92.21, 10.84, 34.00
88.25, 11.33, 34.00
82.93, 12.06, 34.00
123.71, 8.08, 34.00
93.07, 10.74, 34.00
95.64, 10.46, 34.00
105.74, 9.46, 34.00
57.47, 17.40, 34.00
63.06, 15.86, 34.00
139.67, 7.16, 34.00
126.02, 7.94, 34.00
69.17, 14.46, 34.00
231.40, 4.32, 34.00
116.83, 8.56, 34.00
55.37, 18.06, 34.00
102.33, 9.77, 34.00
101.55, 9.85, 34.00
102.27, 9.78, 34.00
78.12, 12.80, 34.00
246.17, 4.06, 34.00
60.39, 16.56, 34.00
135.66, 7.37, 34.00
66.69, 15.00, 34.00
135.75, 7.37, 34.00
72.18, 13.85, 34.00
40.37, 24.77, 34.00
92.66, 10.79, 34.00
65.30, 15.31, 34.00
97.01, 10.31, 34.00
55.38, 18.06, 34.00
122.45, 8.17, 34.00
68.71, 14.55, 34.00
110.40, 9.06, 34.00
109.61, 9.12, 34.00
96.62, 10.35, 34.00
86.14, 11.61, 34.00
46.35, 21.57, 34.00
90.63, 11.03, 34.00
116.02, 8.62, 34.00
94.58, 10.57, 34.00
103.20, 9.69, 34.00
49.14, 20.35, 34.00
102.10, 9.79, 34.00
71.50, 13.99, 34.00
110.42, 9.06, 34.00
67.39, 14.84, 34.00
93.92, 10.65, 34.00
61.48, 16.26, 34.00
108.99, 9.17, 34.00
79.77, 12.54, 34.00
168.00, 5.95, 34.00
88.67, 11.28, 34.00
67.12, 14.90, 34.00
92.67, 10.79, 34.00
78.21, 12.79, 34.00
115.46, 8.66, 34.00
55.07, 18.16, 34.00
155.01, 6.45, 34.00
153.32, 6.52, 34.00
83.79, 11.93, 34.00
99.24, 10.08, 34.00
93.04, 10.75, 34.00
95.28, 10.50, 34.00
61.82, 16.18, 34.00
182.36, 5.48, 34.00
171.74, 5.82, 34.00
105.71, 9.46, 34.00
63.01, 15.87, 34.00
127.01, 7.87, 34.00
106.66, 9.38, 34.00
97.66, 10.24, 34.00
136.49, 7.33, 34.00
111.20, 8.99, 34.00
121.90, 8.20, 34.00
115.52, 8.66, 34.00
99.48, 10.05, 34.00
80.11, 12.48, 34.00
113.87, 8.78, 34.00
104.40, 9.58, 34.00
69.03, 14.49, 34.00
105.66, 9.46, 34.00
83.61, 11.96, 34.00
93.88, 10.65, 34.00
98.53, 10.15, 34.00
43.46, 23.01, 34.00
55.62, 17.98, 34.00
110.17, 9.08, 34.00
121.94, 8.20, 34.00
117.77, 8.49, 34.00
92.42, 10.82, 34.00
104.22, 9.60, 34.00
98.12, 10.19, 34.00
57.74, 17.32, 34.00
137.19, 7.29, 34.00
107.92, 9.27, 34.00
110.03, 9.09, 34.00
73.84, 13.54, 34.00
52.10, 19.19, 34.00
133.95, 7.47, 34.00
110.29, 9.07, 34.00
103.03, 9.71, 34.00
67.02, 14.92, 34.00
76.53, 13.07, 34.00
99.80, 10.02, 34.00
86.48, 11.56, 34.00
112.78, 8.87, 34.00
108.42, 9.22, 34.00
66.37, 15.07, 34.00
108.13, 9.25, 34.00
98.62, 10.14, 34.00
67.37, 14.84, 34.00
125.43, 7.97, 34.00
100.82, 9.92, 34.00
102.90, 9.72, 34.00
48.11, 20.79, 34.00
61.41, 16.28, 34.00
82.34, 12.15, 34.00
108.66, 9.20, 34.00
88.96, 11.24, 34.00
101.31, 9.87, 34.00
69.01, 14.49, 34.00
146.69, 6.82, 34.00
51.61, 19.38, 34.00
118.90, 8.41, 34.00
80.38, 12.44, 34.00
137.49, 7.27, 34.00
65.89, 15.18, 34.00
49.51, 20.20, 34.00
63.81, 15.67, 34.00
124.80, 8.01, 34.00
99.71, 10.03, 34.00
69.33, 14.42, 34.00
210.44, 4.75, 34.00
71.05, 14.07, 34.00
83.91, 11.92, 34.00
71.35, 14.02, 34.00
60.40, 16.56, 34.00
227.23, 4.40, 34.00
54.49, 18.35, 34.00
99.22, 10.08, 34.00
60.06, 16.65, 34.00
74.25, 13.47, 34.00
94.84, 10.54, 34.00
