FPS, FrameTime, Latency
103.90, 9.62, 34.00
116.71, 8.57, 34.00
78.65, 12.71, 34.00
118.47, 8.44, 34.00
103.71, 9.64, 34.00
96.19, 10.40, 34.00
117.81, 8.49, 34.00
106.25, 9.41, 34.00
97.03, 10.31, 34.00
95.08, 10.52, 34.00
64.05, 15.61, 34.00
131.24, 7.62, 34.00
99.55, 10.05, 34.00
86.99, 11.50, 34.00
79.42, 12.59, 34.00
82.50, 12.12, 34.00
80.49, 12.42, 34.00
134.71, 7.42, 34.00
89.35, 11.19, 34.00
101.62, 9.84, 34.00
119.15, 8.39, 34.00
80.58, 12.41, 34.00
111.81, 8.94, 34.00
152.53, 6.56, 34.00
105.96, 9.44, 34.00
154.89, 6.46, 34.00
90.49, 11.05, 34.00
100.29, 9.97, 34.00
129.44, 7.73, 34.00
118.50, 8.44, 34.00
98.65, 10.14, 34.00
134.39, 7.44, 34.00
105.33, 9.49, 34.00
112.24, 8.91, 34.00
135.04, 7.41, 34.00
137.27, 7.28, 34.00
178.17, 5.61, 34.00
131.39, 7.61, 34.00
122.80, 8.14, 34.00
123.48, 8.10, 34.00
84.15, 11.88, 34.00
109.77, 9.11, 34.00
106.15, 9.42, 34.00
151.69, 6.59, 34.00
153.12, 6.53, 34.00
127.52, 7.84, 34.00
151.75, 6.59, 34.00
118.41, 8.44, 34.00
110.23, 9.07, 34.00
125.79, 7.95, 34.00
126.52, 7.90, 34.00
91.34, 10.95, 34.00
137.46, 7.28, 34.00
143.37, 6.97, 34.00
131.70, 7.59, 34.00
147.71, 6.77, 34.00
132.60, 7.54, 34.00
68.45, 14.61, 34.00
129.74, 7.71, 34.00
89.89, 11.12, 34.00
82.28, 12.15, 34.00
136.46, 7.33, 34.00
114.96, 8.70, 34.00
88.99, 11.24, 34.00
97.20, 10.29, 34.00
136.61, 7.32, 34.00
90.54, 11.04, 34.00
114.54, 8.73, 34.00
148.23, 6.75, 34.00
131.93, 7.58, 34.00
130.18, 7.68, 34.00
132.04, 7.57, 34.00
126.43, 7.91, 34.00
109.25, 9.15, 34.00
127.99, 7.81, 34.00
98.50, 10.15, 34.00
102.81, 9.73, 34.00
107.97, 9.26, 34.00
137.49, 7.27, 34.00
119.41, 8.37, 34.00
158.15, 6.32, 34.00
133.10, 7.51, 34.00
97.66, 10.24, 34.00
91.08, 10.98, 34.00
108.15, 9.25, 34.00
122.71, 8.15, 34.00
87.09, 11.48, 34.00
113.38, 8.82, 34.00
164.90, 6.06, 34.00
111.22, 8.99, 34.00
107.61, 9.29, 34.00
140.64, 7.11, 34.00
53.36, 18.74, 34.00
99.26, 10.07, 34.00
122.48, 8.16, 34.00
135.62, 7.37, 34.00
90.70, 11.03, 34.00
188.47, 5.31, 34.00
93.37, 10.71, 34.00
151.14, 6.62, 34.00
102.95, 9.71, 34.00
121.76, 8.21, 34.00
89.69, 11.15, 34.00
134.72, 7.42, 34.00
154.19, 6.49, 34.00
110.78, 9.03, 34.00
153.47, 6.52, 34.00
98.11, 10.19, 34.00
113.13, 8.84, 34.00
123.48, 8.10, 34.00
107.49, 9.30, 34.00
129.12, 7.75, 34.00
128.92, 7.76, 34.00
145.08, 6.89, 34.00
133.23, 7.51, 34.00
120.96, 8.27, 34.00
132.02, 7.57, 34.00
153.04, 6.53, 34.00
119.58, 8.36, 34.00
129.16, 7.74, 34.00
168.67, 5.93, 34.00
117.17, 8.53, 34.00
105.25, 9.50, 34.00
116.52, 8.58, 34.00
110.06, 9.09, 34.00
127.32, 7.85, 34.00
79.01, 12.66, 34.00
137.32, 7.28, 34.00
111.60, 8.96, 34.00
81.48, 12.27, 34.00
105.18, 9.51, 34.00
85.72, 11.67, 34.00
106.73, 9.37, 34.00
100.30, 9.97, 34.00
124.15, 8.05, 34.00
91.42, 10.94, 34.00
88.05, 11.36, 34.00
108.44, 9.22, 34.00
137.37, 7.28, 34.00
99.35, 10.07, 34.00
93.39, 10.71, 34.00
104.88, 9.53, 34.00
126.61, 7.90, 34.00
86.38, 11.58, 34.00
122.07, 8.19, 34.00
108.31, 9.23, 34.00
101.45, 9.86, 34.00
76.63, 13.05, 34.00
113.45, 8.81, 34.00
153.96, 6.50, 34.00
107.75, 9.28, 34.00
145.29, 6.88, 34.00
113.31, 8.83, 34.00
134.11, 7.46, 34.00
133.22, 7.51, 34.00
144.81, 6.91, 34.00
108.18, 9.24, 34.00
116.00, 8.62, 34.00
149.92, 6.67, 34.00
140.02, 7.14, 34.00
119.41, 8.37, 34.00
149.21, 6.70, 34.00
150.08, 6.66, 34.00
152.43, 6.56, 34.00
124.49, 8.03, 34.00
136.90, 7.30, 34.00
146.12, 6.84, 34.00
136.01, 7.35, 34.00
121.74, 8.21, 34.00
171.75, 5.82, 34.00
111.32, 8.98, 34.00
148.47, 6.74, 34.00
134.30, 7.45, 34.00
137.75, 7.26, 34.00
142.79, 7.00, 34.00
142.56, 7.01, 34.00
124.71, 8.02, 34.00
153.22, 6.53, 34.00
124.40, 8.04, 34.00
113.73, 8.79, 34.00
149.65, 6.68, 34.00
125.75, 7.95, 34.00
141.96, 7.04, 34.00
149.65, 6.68, 34.00
149.82, 6.67, 34.00
127.23, 7.86, 34.00
114.26, 8.75, 34.00
155.02, 6.45, 34.00
84.72, 11.80, 34.00
157.47, 6.35, 34.00
100.11, 9.99, 34.00
158.92, 6.29, 34.00
93.76, 10.67, 34.00
104.76, 9.55, 34.00
105.69, 9.46, 34.00
126.92, 7.88, 34.00
114.01, 8.77, 34.00
96.89, 10.32, 34.00
161.00, 6.21, 34.00
134.13, 7.46, 34.00
130.99, 7.63, 34.00
135.03, 7.41, 34.00
82.37, 12.14, 34.00
161.85, 6.18, 34.00
171.05, 5.85, 34.00
120.51, 8.30, 34.00
137.92, 7.25, 34.00
78.41, 12.75, 34.00
114.52, 8.73, 34.00
139.10, 7.19, 34.00
106.79, 9.36, 34.00
122.11, 8.19, 34.00
115.51, 8.66, 34.00
102.92, 9.72, 34.00
115.02, 8.69, 34.00
111.81, 8.94, 34.00
151.15, 6.62, 34.00
123.64, 8.09, 34.00
120.46, 8.30, 34.00
106.59, 9.38, 34.00
139.92, 7.15, 34.00
70.59, 14.17, 34.00
107.41, 9.31, 34.00
147.58, 6.78, 34.00
152.63, 6.55, 34.00
132.80, 7.53, 34.00
74.14, 13.49, 34.00
152.25, 6.57, 34.00
133.32, 7.50, 34.00
101.33, 9.87, 34.00
151.15, 6.62, 34.00
69.85, 14.32, 34.00
118.19, 8.46, 34.00
139.62, 7.16, 34.00
105.83, 9.45, 34.00
78.57, 12.73, 34.00
130.08, 7.69, 34.00
136.77, 7.31, 34.00
110.03, 9.09, 34.00
159.77, 6.26, 34.00
138.44, 7.22, 34.00
136.04, 7.35, 34.00
121.58, 8.22, 34.00
160.66, 6.22, 34.00
137.23, 7.29, 34.00
126.06, 7.93, 34.00
125.84, 7.95, 34.00
111.00, 9.01, 34.00
152.94, 6.54, 34.00
129.40, 7.73, 34.00
105.45, 9.48, 34.00
118.95, 8.41, 34.00
110.36, 9.06, 34.00
141.62, 7.06, 34.00
136.17, 7.34, 34.00
156.09, 6.41, 34.00
76.71, 13.04, 34.00
104.78, 9.54, 34.00
108.38, 9.23, 34.00
98.92, 10.11, 34.00
105.51, 9.48, 34.00
147.67, 6.77, 34.00
87.15, 11.47, 34.00
104.75, 9.55, 34.00
101.28, 9.87, 34.00
110.90, 9.02, 34.00
84.86, 11.78, 34.00
88.68, 11.28, 34.00
107.13, 9.33, 34.00
135.63, 7.37, 34.00
83.35, 12.00, 34.00
74.96, 13.34, 34.00
163.82, 6.10, 34.00
97.84, 10.22, 34.00
80.39, 12.44, 34.00
112.24, 8.91, 34.00
94.26, 10.61, 34.00
155.07, 6.45, 34.00
114.63, 8.72, 34.00
106.09, 9.43, 34.00
141.01, 7.09, 34.00
102.52, 9.75, 34.00
127.27, 7.86, 34.00
94.08, 10.63, 34.00
127.15, 7.86, 34.00
156.19, 6.40, 34.00
108.56, 9.21, 34.00
107.18, 9.33, 34.00
90.31, 11.07, 34.00
122.61, 8.16, 34.00
130.38, 7.67, 34.00
171.08, 5.85, 34.00
108.89, 9.18, 34.00
128.03, 7.81, 34.00
128.87, 7.76, 34.00
134.37, 7.44, 34.00
129.91, 7.70, 34.00
100.72, 9.93, 34.00
127.53, 7.84, 34.00
106.66, 9.38, 34.00
127.69, 7.83, 34.00
126.99, 7.87, 34.00
118.82, 8.42, 34.00
103.47, 9.66, 34.00
177.84, 5.62, 34.00
115.03, 8.69, 34.00
128.36, 7.79, 34.00
74.42, 13.44, 34.00
114.98, 8.70, 34.00
125.96, 7.94, 34.00
113.03, 8.85, 34.00
145.56, 6.87, 34.00
99.95, 10.01, 34.00
120.50, 8.30, 34.00
177.04, 5.65, 34.00
158.37, 6.31, 34.00
141.12, 7.09, 34.00
77.97, 12.83, 34.00
137.48, 7.27, 34.00
129.76, 7.71, 34.00
152.03, 6.58, 34.00
130.05, 7.69, 34.00
89.68, 11.15, 34.00
99.94, 10.01, 34.00
95.25, 10.50, 34.00
66.52, 15.03, 34.00
122.81, 8.14, 34.00
90.24, 11.08, 34.00
115.22, 8.68, 34.00
99.30, 10.07, 34.00
120.48, 8.30, 34.00
105.66, 9.46, 34.00
116.32, 8.60, 34.00
65.03, 15.38, 34.00
96.40, 10.37, 34.00
93.77, 10.66, 34.00
122.09, 8.19, 34.00
134.98, 7.41, 34.00
79.66, 12.55, 34.00
123.55, 8.09, 34.00
114.71, 8.72, 34.00
183.76, 5.44, 34.00
63.36, 15.78, 34.00
151.54, 6.60, 34.00
93.74, 10.67, 34.00
163.75, 6.11, 34.00
123.49, 8.10, 34.00
121.95, 8.20, 34.00
113.31, 8.83, 34.00
122.36, 8.17, 34.00
141.23, 7.08, 34.00
119.26, 8.38, 34.00
87.29, 11.46, 34.00
138.23, 7.23, 34.00
124.72, 8.02, 34.00
176.57, 5.66, 34.00
123.68, 8.09, 34.00
58.07, 17.22, 34.00
171.40, 5.83, 34.00
149.46, 6.69, 34.00
123.83, 8.08, 34.00
107.74, 9.28, 34.00
73.59, 13.59, 34.00
104.14, 9.60, 34.00
128.39, 7.79, 34.00
116.90, 8.55, 34.00
93.37, 10.71, 34.00
101.48, 9.85, 34.00
161.73, 6.18, 34.00
141.41, 7.07, 34.00
135.97, 7.35, 34.00
131.59, 7.60, 34.00
125.11, 7.99, 34.00
129.59, 7.72, 34.00
129.88, 7.70, 34.00
128.94, 7.76, 34.00
96.81, 10.33, 34.00
127.81, 7.82, 34.00
94.32, 10.60, 34.00
80.52, 12.42, 34.00
98.60, 10.14, 34.00
122.48, 8.16, 34.00
68.35, 14.63, 34.00
112.89, 8.86, 34.00
230.16, 4.34, 34.00
60.12, 16.63, 34.00
95.71, 10.45, 34.00
94.16, 10.62, 34.00
122.06, 8.19, 34.00
89.68, 11.15, 34.00
104.20, 9.60, 34.00
89.12, 11.22, 34.00
147.35, 6.79, 34.00
69.29, 14.43, 34.00
111.77, 8.95, 34.00
73.39, 13.62, 34.00
124.24, 8.05, 34.00
93.64, 10.68, 34.00
123.18, 8.12, 34.00
110.15, 9.08, 34.00
120.19, 8.32, 34.00
108.63, 9.21, 34.00
114.22, 8.76, 34.00
142.89, 7.00, 34.00
114.98, 8.70, 34.00
161.29, 6.20, 34.00
103.91, 9.62, 34.00
173.42, 5.77, 34.00
121.90, 8.20, 34.00
145.13, 6.89, 34.00
122.14, 8.19, 34.00
103.00, 9.71, 34.00
78.35, 12.76, 34.00
161.91, 6.18, 34.00
133.94, 7.47, 34.00
120.89, 8.27, 34.00
145.09, 6.89, 34.00
157.84, 6.34, 34.00
116.75, 8.57, 34.00
176.14, 5.68, 34.00
124.48, 8.03, 34.00
110.84, 9.02, 34.00
84.22, 11.87, 34.00
107.51, 9.30, 34.00
179.25, 5.58, 34.00
118.84, 8.41, 34.00
113.42, 8.82, 34.00
108.56, 9.21, 34.00
117.89, 8.48, 34.00
128.76, 7.77, 34.00
121.70, 8.22, 34.00
146.67, 6.82, 34.00
80.27, 12.46, 34.00
111.68, 8.95, 34.00
154.72, 6.46, 34.00
111.17, 9.00, 34.00
130.63, 7.66, 34.00
81.95, 12.20, 34.00
72.47, 13.80, 34.00
104.37, 9.58, 34.00
67.87, 14.73, 34.00
87.54, 11.42, 34.00
123.84, 8.07, 34.00
91.24, 10.96, 34.00
96.14, 10.40, 34.00
114.71, 8.72, 34.00
95.08, 10.52, 34.00
101.66, 9.84, 34.00
90.62, 11.03, 34.00
93.84, 10.66, 34.00
80.48, 12.43, 34.00
110.83, 9.02, 34.00
93.83, 10.66, 34.00
79.80, 12.53, 34.00
117.87, 8.48, 34.00
140.41, 7.12, 34.00
84.16, 11.88, 34.00
112.96, 8.85, 34.00
100.63, 9.94, 34.00
64.96, 15.39, 34.00
96.78, 10.33, 34.00
152.68, 6.55, 34.00
124.93, 8.00, 34.00
134.36, 7.44, 34.00
86.89, 11.51, 34.00
116.77, 8.56, 34.00
105.51, 9.48, 34.00
131.82, 7.59, 34.00
85.64, 11.68, 34.00
113.71, 8.79, 34.00
172.80, 5.79, 34.00
115.74, 8.64, 34.00
120.07, 8.33, 34.00
80.04, 12.49, 34.00
127.46, 7.85, 34.00
115.21, 8.68, 34.00
112.78, 8.87, 34.00
201.51, 4.96, 34.00
128.79, 7.76, 34.00
94.10, 10.63, 34.00
86.91, 11.51, 34.00
155.26, 6.44, 34.00
127.67, 7.83, 34.00
119.88, 8.34, 34.00
138.30, 7.23, 34.00
131.61, 7.60, 34.00
120.25, 8.32, 34.00
125.52, 7.97, 34.00
120.29, 8.31, 34.00
74.20, 13.48, 34.00
113.74, 8.79, 34.00
174.82, 5.72, 34.00
107.94, 9.26, 34.00
118.51, 8.44, 34.00
100.87, 9.91, 34.00
133.22, 7.51, 34.00
103.94, 9.62, 34.00
83.65, 11.95, 34.00
117.88, 8.48, 34.00
96.47, 10.37, 34.00
102.37, 9.77, 34.00
139.13, 7.19, 34.00
76.66, 13.04, 34.00
94.23, 10.61, 34.00
109.44, 9.14, 34.00
56.38, 17.74, 34.00
112.86, 8.86, 34.00
