FPS, FrameTime, Latency
166.66, 6.00, 34.00
113.38, 8.82, 34.00
118.53, 8.44, 34.00
101.32, 9.87, 34.00
144.43, 6.92, 34.00
164.50, 6.08, 34.00
124.11, 8.06, 34.00
101.01, 9.90, 34.00
109.17, 9.16, 34.00
116.29, 8.60, 34.00
84.98, 11.77, 34.00
93.44, 10.70, 34.00
130.36, 7.67, 34.00
114.35, 8.75, 34.00
92.14, 10.85, 34.00
96.14, 10.40, 34.00
81.58, 12.26, 34.00
103.59, 9.65, 34.00
73.09, 13.68, 34.00
130.39, 7.67, 34.00
99.38, 10.06, 34.00
102.85, 9.72, 34.00
70.60, 14.16, 34.00
111.01, 9.01, 34.00
80.36, 12.44, 34.00
118.46, 8.44, 34.00
74.77, 13.38, 34.00
117.30, 8.53, 34.00
74.23, 13.47, 34.00
102.01, 9.80, 34.00
115.43, 8.66, 34.00
134.06, 7.46, 34.00
65.75, 15.21, 34.00
96.87, 10.32, 34.00
65.21, 15.33, 34.00
130.89, 7.64, 34.00
78.31, 12.77, 34.00
84.45, 11.84, 34.00
78.77, 12.70, 34.00
131.77, 7.59, 34.00
106.94, 9.35, 34.00
70.10, 14.27, 34.00
134.73, 7.42, 34.00
79.44, 12.59, 34.00
117.75, 8.49, 34.00
95.02, 10.52, 34.00
100.06, 9.99, 34.00
109.13, 9.16, 34.00
74.82, 13.37, 34.00
102.92, 9.72, 34.00
76.59, 13.06, 34.00
63.17, 15.83, 34.00
123.00, 8.13, 34.00
60.89, 16.42, 34.00
86.11, 11.61, 34.00
99.67, 10.03, 34.00
98.36, 10.17, 34.00
123.56, 8.09, 34.00
96.86, 10.32, 34.00
54.02, 18.51, 34.00
110.95, 9.01, 34.00
63.91, 15.65, 34.00
94.77, 10.55, 34.00
57.93, 17.26, 34.00
90.05, 11.11, 34.00
154.17, 6.49, 34.00
104.28, 9.59, 34.00
109.19, 9.16, 34.00
72.50, 13.79, 34.00
80.00, 12.50, 34.00
124.73, 8.02, 34.00
90.68, 11.03, 34.00
76.71, 13.04, 34.00
89.80, 11.14, 34.00
74.62, 13.40, 34.00
95.96, 10.42, 34.00
84.71, 11.80, 34.00
83.34, 12.00, 34.00
113.94, 8.78, 34.00
97.01, 10.31, 34.00
87.30, 11.45, 34.00
81.95, 12.20, 34.00
87.55, 11.42, 34.00
