FPS, FrameTime, Latency
151.41, 6.60, 67.00
105.20, 9.51, 67.00
94.12, 10.62, 67.00
124.69, 8.02, 67.00
70.56, 14.17, 67.00
48.84, 20.47, 67.00
257.07, 3.89, 67.00
164.40, 6.08, 67.00
51.52, 19.41, 67.00
125.00, 8.00, 67.00
95.47, 10.47, 67.00
88.74, 11.27, 67.00
136.09, 7.35, 67.00
92.80, 10.78, 67.00
111.48, 8.97, 67.00
39.23, 25.49, 67.00
226.66, 4.41, 67.00
89.09, 11.23, 67.00
61.33, 16.31, 67.00
105.80, 9.45, 67.00
103.78, 9.64, 67.00
86.42, 11.57, 67.00
93.95, 10.64, 67.00
114.96, 8.70, 67.00
28.23, 35.42, 67.00
175.42, 5.70, 67.00
174.28, 5.74, 67.00
60.90, 16.42, 67.00
90.36, 11.07, 67.00
52.72, 18.97, 67.00
133.20, 7.51, 67.00
106.83, 9.36, 67.00
95.99, 10.42, 67.00
27.55, 36.29, 67.00
162.33, 6.16, 67.00
171.14, 5.84, 67.00
82.32, 12.15, 67.00
55.37, 18.06, 67.00
106.10, 9.42, 67.00
108.11, 9.25, 67.00
57.10, 17.51, 67.00
100.31, 9.97, 67.00
39.83, 25.11, 67.00
235.97, 4.24, 67.00
163.27, 6.12, 67.00
91.18, 10.97, 67.00
98.95, 10.11, 67.00
89.01, 11.23, 67.00
51.99, 19.23, 67.00
136.83, 7.31, 67.00
85.31, 11.72, 67.00
33.23, 30.09, 67.00
188.50, 5.30, 67.00
91.76, 10.90, 67.00
140.81, 7.10, 67.00
125.07, 8.00, 67.00
87.27, 11.46, 67.00
112.29, 8.91, 67.00
83.83, 11.93, 67.00
105.24, 9.50, 67.00
120.66, 8.29, 67.00
85.10, 11.75, 67.00
37.81, 26.45, 67.00
229.57, 4.36, 67.00
93.33, 10.71, 67.00
157.91, 6.33, 67.00
53.03, 18.86, 67.00
92.20, 10.85, 67.00
93.11, 10.74, 67.00
77.35, 12.93, 67.00
25.19, 39.69, 67.00
218.36, 4.58, 67.00
142.34, 7.03, 67.00
93.90, 10.65, 67.00
78.98, 12.66, 67.00
136.57, 7.32, 67.00
82.55, 12.11, 67.00
74.13, 13.49, 67.00
156.00, 6.41, 67.00
29.04, 34.43, 67.00
216.14, 4.63, 67.00
124.49, 8.03, 67.00
100.75, 9.93, 67.00
116.42, 8.59, 67.00
107.92, 9.27, 67.00
79.07, 12.65, 67.00
127.84, 7.82, 67.00
106.49, 9.39, 67.00
85.78, 11.66, 67.00
104.79, 9.54, 67.00
29.82, 33.54, 67.00
117.14, 8.54, 67.00
127.35, 7.85, 67.00
68.59, 14.58, 67.00
158.91, 6.29, 67.00
88.62, 11.28, 67.00
95.13, 10.51, 67.00
115.09, 8.69, 67.00
99.33, 10.07, 67.00
71.77, 13.93, 67.00
39.97, 25.02, 67.00
187.63, 5.33, 67.00
103.56, 9.66, 67.00
107.77, 9.28, 67.00
74.37, 13.45, 67.00
157.36, 6.35, 67.00
101.98, 9.81, 67.00
78.70, 12.71, 67.00
98.49, 10.15, 67.00
77.20, 12.95, 67.00
34.07, 29.36, 67.00
187.62, 5.33, 67.00
105.65, 9.46, 67.00
130.22, 7.68, 67.00
86.07, 11.62, 67.00
73.42, 13.62, 67.00
70.32, 14.22, 67.00
101.78, 9.82, 67.00
64.70, 15.46, 67.00
50.76, 19.70, 67.00
217.00, 4.61, 67.00
229.40, 4.36, 67.00
70.32, 14.22, 67.00
66.47, 15.04, 67.00
101.98, 9.81, 67.00
80.38, 12.44, 67.00
113.83, 8.79, 67.00
74.15, 13.49, 67.00
45.00, 22.22, 67.00
247.57, 4.04, 67.00
114.70, 8.72, 67.00
86.08, 11.62, 67.00
103.79, 9.64, 67.00
56.36, 17.74, 67.00
166.99, 5.99, 67.00
106.20, 9.42, 67.00
110.29, 9.07, 67.00
34.45, 29.03, 67.00
262.12, 3.81, 67.00
124.18, 8.05, 67.00
76.13, 13.14, 67.00
105.70, 9.46, 67.00
97.13, 10.30, 67.00
104.58, 9.56, 67.00
141.21, 7.08, 67.00
103.37, 9.67, 67.00
86.39, 11.58, 67.00
36.40, 27.47, 67.00
255.47, 3.91, 67.00
143.44, 6.97, 67.00
56.17, 17.80, 67.00
139.63, 7.16, 67.00
83.41, 11.99, 67.00
75.38, 13.27, 67.00
74.02, 13.51, 67.00
111.70, 8.95, 67.00
78.25, 12.78, 67.00
34.40, 29.07, 67.00
138.13, 7.24, 67.00
124.19, 8.05, 67.00
96.05, 10.41, 67.00
55.97, 17.87, 67.00
126.28, 7.92, 67.00
60.53, 16.52, 67.00
108.74, 9.20, 67.00
80.72, 12.39, 67.00
29.69, 33.69, 67.00
129.24, 7.74, 67.00
86.87, 11.51, 67.00
112.48, 8.89, 67.00
92.10, 10.86, 67.00
161.64, 6.19, 67.00
105.98, 9.44, 67.00
119.04, 8.40, 67.00
102.70, 9.74, 67.00
96.74, 10.34, 67.00
29.03, 34.45, 67.00
115.46, 8.66, 67.00
149.63, 6.68, 67.00
188.40, 5.31, 67.00
