FPS, FrameTime, Latency
54.11, 18.48, 67.00
83.33, 12.00, 67.00
109.02, 9.17, 67.00
95.74, 10.44, 67.00
121.24, 8.25, 67.00
33.99, 29.42, 67.00
131.12, 7.63, 67.00
220.82, 4.53, 67.00
72.07, 13.87, 67.00
123.93, 8.07, 67.00
121.98, 8.20, 67.00
69.69, 14.35, 67.00
58.44, 17.11, 67.00
62.40, 16.03, 67.00
35.30, 28.33, 67.00
150.73, 6.63, 67.00
181.90, 5.50, 67.00
116.48, 8.59, 67.00
100.49, 9.95, 67.00
94.12, 10.62, 67.00
79.06, 12.65, 67.00
42.59, 23.48, 67.00
173.01, 5.78, 67.00
54.54, 18.33, 67.00
46.62, 21.45, 67.00
138.71, 7.21, 67.00
183.75, 5.44, 67.00
61.30, 16.31, 67.00
138.66, 7.21, 67.00
94.81, 10.55, 67.00
102.54, 9.75, 67.00
96.41, 10.37, 67.00
85.06, 11.76, 67.00
72.38, 13.82, 67.00
34.59, 28.91, 67.00
171.07, 5.85, 67.00
159.99, 6.25, 67.00
98.35, 10.17, 67.00
102.15, 9.79, 67.00
131.06, 7.63, 67.00
115.43, 8.66, 67.00
104.61, 9.56, 67.00
92.16, 10.85, 67.00
120.60, 8.29, 67.00
117.50, 8.51, 67.00
107.39, 9.31, 67.00
31.05, 32.20, 67.00
173.15, 5.78, 67.00
113.36, 8.82, 67.00
143.51, 6.97, 67.00
52.76, 18.95, 67.00
148.90, 6.72, 67.00
68.87, 14.52, 67.00
149.41, 6.69, 67.00
106.34, 9.40, 67.00
98.21, 10.18, 67.00
27.52, 36.34, 67.00
170.76, 5.86, 67.00
149.14, 6.71, 67.00
94.96, 10.53, 67.00
126.60, 7.90, 67.00
105.93, 9.44, 67.00
99.33, 10.07, 67.00
95.31, 10.49, 67.00
140.71, 7.11, 67.00
88.32, 11.32, 67.00
68.23, 14.66, 67.00
33.65, 29.71, 67.00
172.35, 5.80, 67.00
101.41, 9.86, 67.00
91.87, 10.89, 67.00
73.22, 13.66, 67.00
81.48, 12.27, 67.00
108.12, 9.25, 67.00
98.37, 10.17, 67.00
101.25, 9.88, 67.00
34.71, 28.81, 67.00
146.70, 6.82, 67.00
169.22, 5.91, 67.00
75.79, 13.19, 67.00
142.65, 7.01, 67.00
67.39, 14.84, 67.00
112.31, 8.90, 67.00
70.85, 14.11, 67.00
31.59, 31.66, 67.00
210.89, 4.74, 67.00
109.20, 9.16, 67.00
61.27, 16.32, 67.00
104.10, 9.61, 67.00
75.10, 13.32, 67.00
91.38, 10.94, 67.00
52.15, 19.18, 67.00
98.48, 10.15, 67.00
33.51, 29.84, 67.00
253.88, 3.94, 67.00
92.20, 10.85, 67.00
75.05, 13.33, 67.00
90.64, 11.03, 67.00
97.85, 10.22, 67.00
124.47, 8.03, 67.00
101.38, 9.86, 67.00
115.38, 8.67, 67.00
103.31, 9.68, 67.00
33.16, 30.16, 67.00
218.18, 4.58, 67.00
70.26, 14.23, 67.00
65.84, 15.19, 67.00
72.55, 13.78, 67.00
133.61, 7.48, 67.00
130.74, 7.65, 67.00
105.31, 9.50, 67.00
103.06, 9.70, 67.00
102.69, 9.74, 67.00
33.89, 29.50, 67.00
186.09, 5.37, 67.00
78.94, 12.67, 67.00
116.40, 8.59, 67.00
104.72, 9.55, 67.00
62.49, 16.00, 67.00
